Provider ID,Provider Name,Start Date,State of License
153,"Allen, Kami",3/1/21,Florida
279,"Allen, Emiko",6/1/21,New York
207,"Allen, Annelle",9/1/21,New York
437,"Allen, Lenore",10/1/21,New York
156,"Allen, Theressa",10/1/21,Florida
131,"Allen, Vertie",11/1/21,New York
106,"Allen, Lizabeth",9/1/21,Florida
809,"Allen, Theressa",8/1/21,Florida
337,"Allen, Theressa",7/1/21,Florida
107,"Allen, Margaretta",5/1/21,Massachusetts
363,"Allen, Vina",11/1/21,New York
287,"Allen, Delois",,Florida
415,"Allen, Crissy",10/1/21,New York
467,"Allen, Kiersten",3/1/21,Arizona
390,"Allen, Latarsha",6/1/21,Florida
185,"Allen, Angeline",9/1/21,Florida
212,"Allen, Florrie",10/1/21,Texas
161,"Allen, Lauryn",10/1/21,New York; New Jersey
471,"Allen, Mauricio",11/1/21,Florida
105,"Allen, Lela",9/1/21,New York
395,"Allen, Cherie",8/1/21,New York
887,"Allen, Theressa",7/1/21,Florida
346,"Allen, Kiersten",5/1/21,New York
321,"Allen, Abram",11/1/21,Florida; New York
450,"Allen, Abram",11/1/21,Arizona; California; Pennsylvania
348,"Allen, Vina",10/1/21,Connecticut
118,"Allen, Jospeh",3/1/21,New York
477,"Allen, Kasey",6/1/21,New York
935,"Allen, Jospeh",9/1/21,New York
375,"Allen, Lizabeth",10/1/21,New York
324,"Allen, Everett",10/1/21,New York
145,"Allen, Cherie",11/1/21,New York
440,"Allen, Mauricio",9/1/21,New Jersey
197,"Allen, Annelle",8/1/21,New York
274,"Allen, Xiomara",7/1/21,New York
699,"Allen, Daniell",5/1/21,New York; Texas
200,"Allen, Loraine",11/1/21,New York
199,"Allen, Kasey",11/1/21,Florida
481,"Allen, Lizabeth",10/1/21,Florida
329,"Allen, Olene",10/1/21,Florida; Rhode Island
203,"Allen, Xiomara",10/1/21,Florida
254,"Allen, Xiomara",10/1/21,Florida
459,"Allen, Helene",10/1/21,Florida; Ohio
409,"Allen, Gerard",10/1/21,Massachusetts
204,"Allen, Latisha",1/1/21,New York
409,"Allen, Annelle",6/1/21,New Jersey
256,"Aquaman, Lisha",2/1/21,New Jersey
360,"Aquaman, Denisha",10/1/21,New York
185,"Allen, Angeline",9/1/21,New York
335,"Aquaman, Vertie",10/1/21,Texas
26@,"Aquaman, Elene",11/1/21,Florida
538,"Aquaman, Christi",9/1/21,New Jersey;New York
541,"Aquaman, Leonore",8/1/21,Florida
182,"Aquaman, Jaimee",7/1/21,Texas
438,"Aquaman, Debra",5/1/21,Florida
131,"Aquaman, Zoraida",11/1/21,New York
